node_id,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon
1174832834,priority,False,6,6,12.96,22.57121595357121,88.353192709397
1186025302,priority,False,2,2,13.89,22.571315668711904,88.35259186993966
1174832972,right_before_left,False,6,6,5.56,22.575205282141894,88.35355582072634
cluster_1189036595_13298747741,traffic_light,True,6,6,10.19,22.57509688724045,88.35397501153209
1174833090,priority,False,6,6,16.67,22.57530296815583,88.35314255462443
1174832534,priority,False,6,6,16.67,22.574811689086847,88.35299488662051
1186025330,priority,False,4,4,22.22,22.574232397124288,88.3528090139375
1186025292,priority,False,6,6,19.44,22.575613888739092,88.3532242722462
1189036707,priority,False,6,6,16.67,22.576047534864216,88.35332994722307
1189036484,priority,False,6,6,16.67,22.576503068370783,88.35345353775631
1174832895,priority,False,8,6,16.66,22.57702815529232,88.35359784393474
1174833147,priority,False,8,8,13.89,22.575771377001804,88.35252010631395
1174832527,priority,False,6,6,13.89,22.574453714222475,88.3520865120077
1174833066,priority,False,6,4,12.04,22.577225808992544,88.35297225979502
1174832855,priority,False,6,6,13.89,22.575270738866454,88.35100471141466
1189036766,priority,False,6,6,13.89,22.575254810728335,88.35054647250432
1186025321,priority,False,6,6,11.11,22.575278080940638,88.35125940358947
1174832816,priority,False,4,4,12.5,22.575223984383424,88.35153790824157
cluster_1174832725_13298747729_13298747740,traffic_light,True,10,10,10.0,22.57459216211288,88.35382604243047
6544715978,priority,False,4,4,12.5,22.576007174638097,88.35191211283642
1174832779,right_before_left,False,6,6,5.56,22.573640012641082,88.35195719720488
1174832885,priority,False,6,6,8.34,22.573206196786337,88.35190375367436
11242908390,priority,False,2,2,5.56,22.574014572267743,88.35166771923218
1174832811,priority,False,4,4,8.33,22.574117753384236,88.35127707224575
11282915069,priority,False,6,6,11.11,22.570980952442717,88.35118356585816
cluster_1186025344_13298747727_13298747728_13298747738_#3more,traffic_light,True,15,15,11.85,22.57220210547858,88.35292185263569
1174832997,priority,False,4,4,18.05,22.571012736839275,88.35105569403272
1174832716,priority,False,4,4,18.05,22.575026406801143,88.35000680147233
1174833041,priority,False,6,6,13.89,22.57405203463021,88.34976836701316
1176977352,priority,False,2,2,13.89,22.577798043047412,88.35957883597573
cluster_1176977581_1176977943,priority,False,8,8,9.72,22.57702983565986,88.35934701984806
1189036795,priority,False,6,4,15.74,22.57592780259925,88.35994757217253
1191863915,priority,False,6,6,13.89,22.575835411486786,88.36058681633969
1189036489,priority,False,6,6,10.19,22.576845651791903,88.35865516355285
1176977453,priority,False,6,6,12.04,22.57730444396693,88.35690705653937
1176978389,priority,False,6,6,13.89,22.57668172895104,88.35677277190399
12123661005,right_before_left,False,6,6,5.56,22.574354069379186,88.35615097726945
1177160664,right_before_left,False,6,6,5.56,22.574092508675037,88.35606419340814
1189036574,right_before_left,False,6,6,5.56,22.574833538560892,88.35629562245266
1177161047,priority,False,6,6,10.19,22.570004087059303,88.35670934588626
1177161432,priority,False,4,4,6.94,22.570957759552957,88.3564989825272
cluster_10943484228_1190100465,priority,False,8,8,13.89,22.567427130487207,88.3499297722738
1177160399,priority,False,4,4,12.5,22.56788153323447,88.35007015611401
1177160675,priority,False,6,6,11.11,22.567093241300878,88.34977568324467
1187083424,priority,False,6,6,11.11,22.56702076543638,88.34969416125762
10943498141,priority,False,6,6,13.89,22.566665409617922,88.34956874807615
1177160515,priority,False,4,4,12.5,22.56607185836104,88.34935932606618
1177160684,priority,False,8,8,13.89,22.571925313628938,88.35663430009069
10943435168,priority,False,6,6,8.34,22.571857970843933,88.35587009092055
6546843161,right_before_left,False,6,6,5.56,22.575318612539704,88.35525154430397
1177161548,right_before_left,False,6,6,5.56,22.5743030429459,88.35476913863768
1189036577,right_before_left,False,6,6,5.56,22.575913902919076,88.35542494173575
1177161634,priority,False,6,4,9.26,22.576454516246205,88.35561288094803
1190100093,priority,False,6,6,11.11,22.56929443066344,88.3517359614329
cluster_1177160434_1177161050,priority,False,6,6,18.52,22.568806259319057,88.35294696207289
1177161018,priority,False,6,6,13.89,22.569502893338285,88.3513814625359
1177160807,priority,False,6,6,12.04,22.569997072990475,88.35123816258634
1177160693,priority,False,6,6,11.11,22.573186840249335,88.35854693391815
1177161022,priority,False,4,4,18.05,22.572792349442686,88.35797674685944
1189868591,priority,False,6,6,10.19,22.571075873464917,88.35376008705416
1177161553,priority,False,6,6,10.19,22.57063625233305,88.3546314713325
1177160694,priority,False,6,6,11.11,22.57394205365655,88.35828610355647
3640245798,priority,False,2,2,5.56,22.573501543917295,88.35821283151162
1177161545,right_before_left,False,6,6,5.56,22.574992554176056,88.35827850447652
1177161645,priority,False,6,6,16.67,22.574723633892038,88.35765196444198
1189036720,right_before_left,False,6,6,5.56,22.574876369910225,88.3586667834742
1177161333,priority,False,6,6,8.34,22.57484929113494,88.35892103996773
1177161389,right_before_left,False,6,6,5.56,22.574852283524795,88.35910118955766
10281958931,priority,False,6,4,12.97,22.574770951538223,88.35941589390522
1177160773,priority,False,4,4,13.89,22.568079861535047,88.3516304637343
663943275,priority,False,6,6,7.41,22.567575672362384,88.35150330180771
1177161481,right_before_left,False,8,8,5.56,22.572410160349538,88.35452480780106
1177161509,priority,False,6,6,8.34,22.57284385093382,88.3554391666672
cluster_11502623497_1177160337,traffic_light,True,6,6,10.19,22.572813398866312,88.35328679132752
1190100054,priority,False,4,4,16.67,22.566803604660766,88.35209387309988
1190100077,priority,False,4,4,5.56,22.567045810908905,88.35137861371089
1189036763,right_before_left,False,6,6,5.56,22.57365060000375,88.3561779386311
1177161049,priority,False,6,6,11.11,22.573293452609025,88.35606221016512
1177161446,right_before_left,False,6,6,5.56,22.573946735203723,88.3562348139385
1177160524,priority,False,6,6,13.89,22.57393444076498,88.35846011812434
1177161043,priority,False,6,6,13.89,22.574387789956585,88.35888422527012
1177160691,priority,False,6,6,19.44,22.573946797593326,88.35771408705128
1177161074,priority,False,4,4,18.05,22.56829233874282,88.3509810391508
1177160983,priority,False,6,4,9.26,22.575682572613786,88.35836822865477
1177161573,priority,False,8,8,13.89,22.56959870052732,88.35465644015814
1177161508,priority,False,6,6,12.04,22.568856378448416,88.35451361504018
10907806554,priority,False,6,6,10.19,22.57030479468226,88.3547145936454
1189036486,right_before_left,False,6,6,5.56,22.575191060230935,88.35700880924341
1177160600,right_before_left,False,6,6,5.56,22.575034137790887,88.35735506482729
1177160446,right_before_left,False,6,6,5.56,22.57544803291875,88.35617335380904
1177160571,priority,False,6,6,11.11,22.573558473219304,88.35510721737334
1177160978,priority,False,6,6,8.34,22.572943729188673,88.35477714984015
1177161095,right_before_left,False,6,6,5.56,22.574178104851303,88.35523251297694
10943277968,priority,False,6,6,19.44,22.57158255100902,88.35651579529627
cluster_1177161169_664472775,priority,False,6,6,15.74,22.57102991487022,88.35627561422059
1177161612,priority,False,6,6,19.44,22.57447252814023,88.3577282825355
1177161504,priority,False,6,6,16.67,22.575094858436493,88.35746974246847
1189036737,priority,False,6,6,16.67,22.575234351777272,88.35740118078535
1177160599,priority,False,8,6,14.58,22.57598198995622,88.35724569434836
1189036777,priority,False,6,6,16.67,22.57201749846334,88.35698055571
cluster_10943433501_10943433503,priority,False,8,8,18.05,22.572035257467114,88.35729476671229
1177161631,priority,False,6,6,19.44,22.572510341894645,88.35764827490244
1177161483,priority,False,6,6,22.22,22.572919382861816,88.3576832091468
1189036857,priority,False,6,6,16.67,22.57339548443856,88.3576917634191
1189036937,priority,False,6,6,16.67,22.57419094120869,88.35772416219234
1177161371,priority,False,8,8,13.89,22.568949696157482,88.35709202576514
1189868548,priority,False,6,4,23.15,22.56838551192779,88.35691455979011
1189868581,priority,False,6,6,13.89,22.56995683488181,88.35689288754371
1177160687,priority,False,6,6,12.04,22.56872928571196,88.3547720386315
664472699,priority,False,4,4,18.05,22.567971313290638,88.35458928487955
1177161154,priority,False,8,8,12.5,22.568445835304324,88.3553316812101
1177160864,priority,False,4,4,18.05,22.56767952940121,88.3550875745227
1177161408,priority,False,5,5,21.11,22.566394450443745,88.35195402249684
11372704310,priority,False,2,2,13.89,22.56708306823933,88.35117990221399
1177161703,priority,False,4,4,8.33,22.57169088268994,88.35423048690492
1177161547,priority,False,6,6,11.11,22.573441956145416,88.35552515534572
1177161474,priority,False,6,4,9.26,22.575468076413085,88.35919933187039
1177160733,right_before_left,False,6,6,5.56,22.574270079676086,88.35643881361176
1177160667,right_before_left,False,6,6,5.56,22.57392828100468,88.35633451585143
1177161625,right_before_left,False,6,6,5.56,22.574716644757416,88.35661873368213
1189036735,right_before_left,False,6,6,5.56,22.57510483481199,88.35630975403949
1189036456,right_before_left,False,6,6,5.56,22.574967847386695,88.35691597967583
1177161280,right_before_left,False,6,6,5.56,22.575184579809832,88.35608606429666
1189036581,right_before_left,False,6,6,5.56,22.57521449863902,88.3559335655531
1189036567,right_before_left,False,6,6,5.56,22.57526283060756,88.35561124071086
1177161647,priority,False,2,2,13.89,22.574474065003734,88.35844410847463
1177161537,right_before_left,False,6,6,5.56,22.574342541243496,88.35536561234862
1189036826,right_before_left,False,6,6,5.56,22.574207284832102,88.35576712718824
1177160431,right_before_left,False,6,6,5.56,22.57381396335568,88.35691946465657
1177160598,priority,False,6,6,10.19,22.569130391186377,88.35612281879348
1177160765,priority,False,6,6,8.33,22.56814184455718,88.35573493297038
1177161549,priority,False,6,6,16.67,22.568138748640493,88.35385209315947
1177160866,priority,False,4,4,18.05,22.567534453716934,88.35369652051925
1177161468,priority,False,6,6,13.89,22.56861184498356,88.35387441360297
1177160573,priority,False,6,6,12.04,22.569141467087277,88.35402721676769
1177160779,priority,False,6,6,13.89,22.569407885232796,88.35647282547072
1177160471,priority,False,6,6,13.89,22.56961764008013,88.35576298203223
1177161675,priority,False,6,6,13.89,22.570023215296157,88.35589833884029
1177160923,priority,False,6,6,13.89,22.56980745475446,88.35663477281982
cluster_1191714258_1191714350,priority,False,8,8,11.11,22.567222375229417,88.36099261294709
1190128211,priority,False,8,8,13.89,22.566885793957592,88.3605284337677
1177211462,priority,False,6,6,10.19,22.567048629680087,88.36145800672703
11499274561,priority,False,6,6,10.19,22.56580977071451,88.36143815806483
1191714339,priority,False,2,2,13.89,22.565664196417323,88.36213897529584
1177211489,priority,False,6,6,13.89,22.565897247738665,88.36099545616977
1177212032,priority,False,6,6,13.89,22.56606246385759,88.3605238550201
1190128206,priority,False,8,8,13.89,22.566220159501373,88.36031106123096
1177212028,priority,False,6,6,23.15,22.566302591831533,88.35989845554714
1177211732,right_before_left,False,6,6,5.56,22.56928107756796,88.3590061994639
1177211724,priority,False,6,6,13.89,22.568380003393877,88.35873186598134
cluster_1177211353_1177211711,priority,False,8,8,15.28,22.567462302351963,88.36178834935455
1177211571,priority,False,6,6,13.89,22.567718628467997,88.3586620724685
1177211334,priority,False,6,6,13.89,22.567747457313402,88.35823269488253
1177211777,right_before_left,False,6,6,5.56,22.569399943715844,88.35851438769072
